uuid,group,qid,correct,time,total_time,S1_Q1,S1_Q2,S1_Q3,S1_Q4,S1_Q5,S1_Q6
5ae18d2546749a613db03ab0,A,D1,true,10608,730618,4,4,4,4,1,1
5ae18d2546749a613db03ab0,A,D2,true,16049,730618,4,4,4,4,1,1
5ae18d2546749a613db03ab0,A,Q9,false,18041,730618,4,4,4,4,1,1
5ae18d2546749a613db03ab0,A,Q4,true,20243,730618,4,4,4,4,1,1
5ae18d2546749a613db03ab0,A,Q17,true,16083,730618,4,4,4,4,1,1
5ae18d2546749a613db03ab0,A,Q16,true,9551,730618,4,4,4,4,1,1
5ae18d2546749a613db03ab0,A,Q8,true,19483,730618,4,4,4,4,1,1
5ae18d2546749a613db03ab0,A,Q2,true,12047,730618,4,4,4,4,1,1
5ae18d2546749a613db03ab0,A,Q10,false,16585,730618,4,4,4,4,1,1
5ae18d2546749a613db03ab0,A,Q7,true,13633,730618,4,4,4,4,1,1
5ae18d2546749a613db03ab0,A,Q5,true,5301,730618,4,4,4,4,1,1
5ae18d2546749a613db03ab0,A,Q3,false,7616,730618,4,4,4,4,1,1
5ae18d2546749a613db03ab0,A,Q12,false,19651,730618,4,4,4,4,1,1
5ae18d2546749a613db03ab0,A,Q14,true,14565,730618,4,4,4,4,1,1
5ae18d2546749a613db03ab0,A,Q6,true,5213,730618,4,4,4,4,1,1
5ae18d2546749a613db03ab0,A,Q1,false,6665,730618,4,4,4,4,1,1
5ae18d2546749a613db03ab0,A,Q11,true,9707,730618,4,4,4,4,1,1
5ae18d2546749a613db03ab0,A,Q13,false,10548,730618,4,4,4,4,1,1
5ae18d2546749a613db03ab0,A,Q15,true,15131,730618,4,4,4,4,1,1
5ae18d2546749a613db03ab0,A,Q18,true,16838,730618,4,4,4,4,1,1
5ae18d7c46749a613db03ab1,A,D1,true,16897,449638,4,3,3,4,1,1
5ae18d7c46749a613db03ab1,A,D2,true,23991,449638,4,3,3,4,1,1
5ae18d7c46749a613db03ab1,A,Q14,true,21264,449638,4,3,3,4,1,1
5ae18d7c46749a613db03ab1,A,Q9,false,18762,449638,4,3,3,4,1,1
5ae18d7c46749a613db03ab1,A,Q13,false,17134,449638,4,3,3,4,1,1
5ae18d7c46749a613db03ab1,A,Q11,true,24144,449638,4,3,3,4,1,1
5ae18d7c46749a613db03ab1,A,Q2,true,15071,449638,4,3,3,4,1,1
5ae18d7c46749a613db03ab1,A,Q3,false,10959,449638,4,3,3,4,1,1
5ae18d7c46749a613db03ab1,A,Q4,true,26809,449638,4,3,3,4,1,1
5ae18d7c46749a613db03ab1,A,Q1,false,14448,449638,4,3,3,4,1,1
5ae18d7c46749a613db03ab1,A,Q10,false,25782,449638,4,3,3,4,1,1
5ae18d7c46749a613db03ab1,A,Q16,true,19848,449638,4,3,3,4,1,1
5ae18d7c46749a613db03ab1,A,Q17,true,12464,449638,4,3,3,4,1,1
5ae18d7c46749a613db03ab1,A,Q15,true,22648,449638,4,3,3,4,1,1
5ae18d7c46749a613db03ab1,A,Q7,true,11839,449638,4,3,3,4,1,1
5ae18d7c46749a613db03ab1,A,Q5,true,10872,449638,4,3,3,4,1,1
5ae18d7c46749a613db03ab1,A,Q8,true,13560,449638,4,3,3,4,1,1
5ae18d7c46749a613db03ab1,A,Q6,true,14384,449638,4,3,3,4,1,1
5ae18d7c46749a613db03ab1,A,Q18,true,14783,449638,4,3,3,4,1,1
5ae18d7c46749a613db03ab1,A,Q12,false,12394,449638,4,3,3,4,1,1
5ae192dc46749a613db03ab2,B,D1,true,18177,415436,4,3,3,3,3,4
5ae192dc46749a613db03ab2,B,D2,true,12850,415436,4,3,3,3,3,4
5ae192dc46749a613db03ab2,B,Q7,true,19781,415436,4,3,3,3,3,4
5ae192dc46749a613db03ab2,B,Q13,false,11506,415436,4,3,3,3,3,4
5ae192dc46749a613db03ab2,B,Q6,true,12346,415436,4,3,3,3,3,4
5ae192dc46749a613db03ab2,B,Q11,false,16142,415436,4,3,3,3,3,4
5ae192dc46749a613db03ab2,B,Q10,false,16245,415436,4,3,3,3,3,4
5ae192dc46749a613db03ab2,B,Q15,true,12676,415436,4,3,3,3,3,4
5ae192dc46749a613db03ab2,B,Q3,false,9468,415436,4,3,3,3,3,4
5ae192dc46749a613db03ab2,B,Q2,false,15472,415436,4,3,3,3,3,4
5ae192dc46749a613db03ab2,B,Q1,false,17001,415436,4,3,3,3,3,4
5ae192dc46749a613db03ab2,B,Q4,false,12794,415436,4,3,3,3,3,4
5ae192dc46749a613db03ab2,B,Q18,false,8310,415436,4,3,3,3,3,4
5ae192dc46749a613db03ab2,B,Q12,true,20753,415436,4,3,3,3,3,4
5ae192dc46749a613db03ab2,B,Q17,false,12954,415436,4,3,3,3,3,4
5ae192dc46749a613db03ab2,B,Q14,true,16971,415436,4,3,3,3,3,4
5ae192dc46749a613db03ab2,B,Q16,true,7668,415436,4,3,3,3,3,4
5ae192dc46749a613db03ab2,B,Q9,false,11356,415436,4,3,3,3,3,4
5ae192dc46749a613db03ab2,B,Q5,true,12675,415436,4,3,3,3,3,4
5ae192dc46749a613db03ab2,B,Q8,false,10328,415436,4,3,3,3,3,4
5ae193c346749a613db03ab3,B,D1,true,11504,567754,3,2,3,4,2,2
5ae193c346749a613db03ab3,B,D2,true,17679,567754,3,2,3,4,2,2
5ae193c346749a613db03ab3,B,Q6,true,11535,567754,3,2,3,4,2,2
5ae193c346749a613db03ab3,B,Q15,true,23097,567754,3,2,3,4,2,2
5ae193c346749a613db03ab3,B,Q9,false,13144,567754,3,2,3,4,2,2
5ae193c346749a613db03ab3,B,Q13,false,22376,567754,3,2,3,4,2,2
5ae193c346749a613db03ab3,B,Q8,true,30336,567754,3,2,3,4,2,2
5ae193c346749a613db03ab3,B,Q17,false,19487,567754,3,2,3,4,2,2
5ae193c346749a613db03ab3,B,Q2,true,37199,567754,3,2,3,4,2,2
5ae193c346749a613db03ab3,B,Q12,false,27456,567754,3,2,3,4,2,2
5ae193c346749a613db03ab3,B,Q18,false,13822,567754,3,2,3,4,2,2
5ae193c346749a613db03ab3,B,Q10,false,12458,567754,3,2,3,4,2,2
5ae193c346749a613db03ab3,B,Q14,true,14686,567754,3,2,3,4,2,2
5ae193c346749a613db03ab3,B,Q4,true,23976,567754,3,2,3,4,2,2
5ae193c346749a613db03ab3,B,Q7,true,25360,567754,3,2,3,4,2,2
5ae193c346749a613db03ab3,B,Q5,true,12184,567754,3,2,3,4,2,2
5ae193c346749a613db03ab3,B,Q1,false,11392,567754,3,2,3,4,2,2
5ae193c346749a613db03ab3,B,Q11,false,13633,567754,3,2,3,4,2,2
5ae193c346749a613db03ab3,B,Q3,false,6798,567754,3,2,3,4,2,2
5ae193c346749a613db03ab3,B,Q16,true,8192,567754,3,2,3,4,2,2
5ae199c746749a613db03ab4,A,D1,false,76329,796055,4,3,1,4,1,3
5ae199c746749a613db03ab4,A,D2,true,22983,796055,4,3,1,4,1,3
5ae199c746749a613db03ab4,A,Q10,true,129321,796055,4,3,1,4,1,3
5ae199c746749a613db03ab4,A,Q15,true,21799,796055,4,3,1,4,1,3
5ae199c746749a613db03ab4,A,Q13,true,12873,796055,4,3,1,4,1,3
5ae199c746749a613db03ab4,A,Q1,true,13493,796055,4,3,1,4,1,3
5ae199c746749a613db03ab4,A,Q9,true,69485,796055,4,3,1,4,1,3
5ae199c746749a613db03ab4,A,Q11,true,11106,796055,4,3,1,4,1,3
5ae199c746749a613db03ab4,A,Q2,true,10864,796055,4,3,1,4,1,3
5ae199c746749a613db03ab4,A,Q17,true,34160,796055,4,3,1,4,1,3
5ae199c746749a613db03ab4,A,Q7,true,11744,796055,4,3,1,4,1,3
5ae199c746749a613db03ab4,A,Q4,true,12218,796055,4,3,1,4,1,3
5ae199c746749a613db03ab4,A,Q8,true,26138,796055,4,3,1,4,1,3
5ae199c746749a613db03ab4,A,Q18,true,16522,796055,4,3,1,4,1,3
5ae199c746749a613db03ab4,A,Q5,true,16597,796055,4,3,1,4,1,3
5ae199c746749a613db03ab4,A,Q3,true,12416,796055,4,3,1,4,1,3
5ae199c746749a613db03ab4,A,Q14,true,40836,796055,4,3,1,4,1,3
5ae199c746749a613db03ab4,A,Q12,true,17922,796055,4,3,1,4,1,3
5ae199c746749a613db03ab4,A,Q6,true,7731,796055,4,3,1,4,1,3
5ae199c746749a613db03ab4,A,Q16,true,12595,796055,4,3,1,4,1,3
5ae1a27246749a613db03ab5,B,D1,true,57008,514259,4,5,1,1,1,3
5ae1a27246749a613db03ab5,B,D2,true,60233,514259,4,5,1,1,1,3
5ae1a27246749a613db03ab5,B,Q17,true,14482,514259,4,5,1,1,1,3
5ae1a27246749a613db03ab5,B,Q13,true,64004,514259,4,5,1,1,1,3
5ae1a27246749a613db03ab5,B,Q1,true,13378,514259,4,5,1,1,1,3
5ae1a27246749a613db03ab5,B,Q10,true,14975,514259,4,5,1,1,1,3
5ae1a27246749a613db03ab5,B,Q15,true,19492,514259,4,5,1,1,1,3
5ae1a27246749a613db03ab5,B,Q12,false,9589,514259,4,5,1,1,1,3
5ae1a27246749a613db03ab5,B,Q11,true,9795,514259,4,5,1,1,1,3
5ae1a27246749a613db03ab5,B,Q5,true,8051,514259,4,5,1,1,1,3
5ae1a27246749a613db03ab5,B,Q2,true,13524,514259,4,5,1,1,1,3
5ae1a27246749a613db03ab5,B,Q3,true,12852,514259,4,5,1,1,1,3
5ae1a27246749a613db03ab5,B,Q18,true,22157,514259,4,5,1,1,1,3
5ae1a27246749a613db03ab5,B,Q6,true,9178,514259,4,5,1,1,1,3
5ae1a27246749a613db03ab5,B,Q8,true,25789,514259,4,5,1,1,1,3
5ae1a27246749a613db03ab5,B,Q16,false,10907,514259,4,5,1,1,1,3
5ae1a27246749a613db03ab5,B,Q9,false,8940,514259,4,5,1,1,1,3
5ae1a27246749a613db03ab5,B,Q4,true,17976,514259,4,5,1,1,1,3
5ae1a27246749a613db03ab5,B,Q7,true,16598,514259,4,5,1,1,1,3
5ae1a27246749a613db03ab5,B,Q14,true,13452,514259,4,5,1,1,1,3
5ae1a57946749a613db03ab6,B,D1,true,17172,1899140,3,3,1,4,1,4
5ae1a57946749a613db03ab6,B,D2,true,16597,1899140,3,3,1,4,1,4
5ae1a57946749a613db03ab6,B,Q8,true,17607,1899140,3,3,1,4,1,4
5ae1a57946749a613db03ab6,B,Q7,true,13183,1899140,3,3,1,4,1,4
5ae1a57946749a613db03ab6,B,Q16,true,18601,1899140,3,3,1,4,1,4
5ae1a57946749a613db03ab6,B,Q11,true,25634,1899140,3,3,1,4,1,4
5ae1a57946749a613db03ab6,B,Q6,true,12029,1899140,3,3,1,4,1,4
